,query,_id,_score,symbol,notfound
0,ENSG00000163736,5473,25.299124,PPBP,
1,ENSG00000254709,100423062,24.761679,IGLL5,
2,ENSG00000163737,5196,25.303984,PF4,
3,ENSG00000127920,2791,25.303558,GNG11,
4,ENSG00000120885,1191,24.756824,CLU,
5,ENSG00000168497,8436,25.296564,CAVIN2,
6,ENSG00000143546,6279,25.303982,S100A8,
7,ENSG00000163220,6280,24.028412,S100A9,
8,ENSG00000115523,10578,24.756868,GNLY,
9,ENSG00000132465,3512,25.303984,JCHAIN,
10,ENSG00000019582,972,25.303982,CD74,
11,ENSG00000204983,5644,24.761679,PRSS1,
12,ENSG00000111644,84519,25.303558,ACRBP,
13,ENSG00000180573,8334,25.296564,H2AC6,
14,ENSG00000107317,5730,25.299076,PTGDS,
15,ENSG00000154146,4900,25.299124,NRGN,
16,ENSG00000113140,6678,25.303984,SPARC,
17,ENSG00000169704,2815,24.356537,GP9,
18,ENSG00000101162,81027,24.761679,TUBB1,
19,ENSG00000204287,3122,24.761211,HLA-DRA,
20,ENSG00000253701,,,,True
21,ENSG00000105374,4818,24.756824,NKG7,
22,ENSG00000171611,171558,25.299124,PTCRA,
23,ENSG00000172236,7177,25.303984,TPSAB1,
24,ENSG00000101335,10398,24.356537,MYL9,
25,ENSG00000090382,4069,25.304031,LYZ,
26,ENSG00000161570,,,,True
27,ENSG00000101439,1471,24.754364,CST3,
28,ENSG00000087086,2512,24.756824,FTL,
29,ENSG00000138293,,,,True
30,ENSG00000010438,5646,25.303984,PRSS3,
31,ENSG00000161911,340205,24.76163,TREML1,
32,ENSG00000005961,3674,24.356588,ITGA2B,
33,ENSG00000166091,116173,24.761211,CMTM5,
34,ENSG00000170476,51237,25.296564,MZB1,
35,ENSG00000102804,8848,24.756824,TSC22D1,
36,ENSG00000184113,7122,24.756868,CLDN5,
37,ENSG00000100721,8115,25.303984,TCL1A,
38,ENSG00000233276,2876,24.03308,GPX1,
39,ENSG00000176783,80230,25.303982,RUFY1,
40,ENSG00000196126,3123,24.356537,HLA-DRB1,
41,ENSG00000156265,56911,25.303982,MAP3K7CL,
42,ENSG00000204472,199,25.304031,AIF1,
43,ENSG00000251562,378938,24.761211,MALAT1,
44,ENSG00000100453,3002,24.754364,GZMB,
45,ENSG00000223865,3115,24.356537,HLA-DPB1,
46,ENSG00000204482,7940,24.756824,LST1,
47,ENSG00000173372,712,24.756868,C1QA,
48,ENSG00000011600,7305,24.761631,TYROBP,
49,ENSG00000085265,2219,24.761679,FCN1,
50,ENSG00000179639,2205,24.761211,FCER1A,
51,ENSG00000167996,2495,24.356588,FTH1,
52,ENSG00000088726,55287,25.304031,TMEM40,
53,ENSG00000070031,6343,25.304031,SCT,
54,ENSG00000231389,3113,25.303982,HLA-DPA1,
55,ENSG00000236304,ENSG00000236304,26.12694,,
56,ENSG00000170458,929,25.296564,CD14,
57,ENSG00000006075,,,,True
58,ENSG00000100079,3957,24.03308,LGALS2,
59,ENSG00000182326,716,25.303982,C1S,
60,ENSG00000197766,1675,24.76163,CFD,
61,ENSG00000223855,441307,25.303982,PDGFA-DT,
62,ENSG00000184709,389816,25.303982,LRRC26,
63,ENSG00000105369,973,25.303982,CD79A,
64,ENSG00000150681,64407,25.303558,RGS18,
65,ENSG00000196565,3048,25.303982,HBG2,
66,ENSG00000100450,2999,25.303982,GZMH,
67,ENSG00000162366,10158,24.76163,PDZK1IP1,
68,ENSG00000145335,6622,24.03308,SNCA,
69,ENSG00000196154,6275,24.356588,S100A4,
70,ENSG00000158869,2207,24.756868,FCER1G,
71,ENSG00000130066,6303,25.304031,SAT1,
72,ENSG00000151650,27287,25.303982,VENTX,
73,ENSG00000010278,928,25.296564,CD9,
74,ENSG00000187699,84281,25.296564,C2orf88,
75,ENSG00000137441,83888,25.303982,FGFBP2,
76,ENSG00000160307,6285,24.356537,S100B,
77,ENSG00000134222,84722,25.299124,PSRC1,
78,ENSG00000169583,9022,24.761631,CLIC3,
79,ENSG00000166710,567,24.35181,B2M,
80,ENSG00000163221,6283,24.76163,S100A12,
81,ENSG00000173369,713,24.76163,C1QB,
82,ENSG00000123689,50486,25.303982,G0S2,
83,ENSG00000233058,ENSG00000233058,26.127375,LINC00884,
84,ENSG00000216490,10437,25.303984,IFI30,
85,ENSG00000165682,51266,25.299076,CLEC1B,
86,ENSG00000113088,3003,25.299124,GZMK,
87,ENSG00000007312,974,24.756868,CD79B,
88,ENSG00000164647,26872,24.76163,STEAP1,
89,ENSG00000075624,60,24.356537,ACTB,
90,ENSG00000227507,4050,25.303982,LTB,
91,ENSG00000008517,9235,25.296564,IL32,
92,ENSG00000105609,10990,24.76163,LILRB5,
93,ENSG00000197249,5265,24.033133,SERPINA1,
94,ENSG00000106565,28959,25.304031,TMEM176B,
95,ENSG00000025708,1890,25.296564,TYMP,
96,ENSG00000198502,3127,25.304031,HLA-DRB5,
97,ENSG00000196735,3117,24.76163,HLA-DQA1,
98,ENSG00000162444,116362,25.304031,RBP7,
99,ENSG00000224397,100506115,25.303558,PELATON,
100,ENSG00000130830,4354,25.303558,MPP1,
101,ENSG00000100097,3956,25.303558,LGALS1,
102,ENSG00000180061,284417,25.304031,TMEM150B,
103,ENSG00000197353,137797,25.304031,LYPD2,
104,ENSG00000145649,3001,24.356537,GZMA,
105,ENSG00000077984,8530,25.303558,CST7,
106,ENSG00000271751,ENSG00000271751,26.127375,,
107,ENSG00000110077,64231,25.299076,MS4A6A,
108,ENSG00000149564,90952,24.756868,ESAM,
109,ENSG00000137198,2766,25.303982,GMPR,
110,ENSG00000166927,58475,25.303982,MS4A7,
111,ENSG00000172889,51162,25.303982,EGFL7,
112,ENSG00000140749,10261,25.299076,IGSF6,
113,ENSG00000185340,10634,24.756824,GAS2L1,
114,ENSG00000026036,ENSG00000026036,26.127375,RTEL1-TNFRSF6B,
115,ENSG00000203747,2214,24.032675,FCGR3A,
116,ENSG00000104267,760,25.303558,CA2,
117,ENSG00000239961,23547,24.761211,LILRA4,
118,ENSG00000156738,931,24.356588,MS4A1,
119,ENSG00000038427,1462,25.299124,VCAN,
120,ENSG00000066336,6688,24.351852,SPI1,
121,ENSG00000129277,,,,True
122,ENSG00000180644,5551,24.761631,PRF1,
123,ENSG00000143797,129642,25.303984,MBOAT2,
124,ENSG00000151023,219670,25.296564,ENKUR,
125,ENSG00000205542,7114,24.756824,TMSB4X,
126,ENSG00000221869,1052,24.756824,CEBPD,
127,ENSG00000124491,2162,24.356588,F13A1,
128,ENSG00000124635,8970,24.356588,H2BC11,
129,ENSG00000182853,284013,25.304031,VMO1,
130,ENSG00000197746,5660,24.76163,PSAP,
131,ENSG00000163453,3490,24.76163,IGFBP7,
132,ENSG00000088826,54498,24.754364,SMOX,
133,ENSG00000090013,645,25.299124,BLVRB,
134,ENSG00000213934,3047,25.303982,HBG1,
135,ENSG00000142089,10410,24.76163,IFITM3,
136,ENSG00000251138,100507377,25.304031,LINC02882,
137,ENSG00000137801,7057,24.356588,THBS1,
138,ENSG00000104918,56729,24.761211,RETN,
139,ENSG00000176083,257101,25.303982,ZNF683,
140,ENSG00000064601,5476,24.76163,CTSA,
141,ENSG00000051523,1535,24.35613,CYBA,
142,ENSG00000159674,10417,24.754364,SPON2,
143,ENSG00000273038,,,,True
144,ENSG00000188677,29780,25.296564,PARVB,
145,ENSG00000247982,283663,25.303984,LINC00926,
146,ENSG00000204323,643008,25.299124,SMIM5,
147,ENSG00000106066,54504,25.304031,CPVL,
148,ENSG00000132386,5176,25.303558,SERPINF1,
149,ENSG00000177663,23765,24.76163,IL17RA,
150,ENSG00000105997,3200,25.299076,HOXA3,
151,ENSG00000172543,1521,25.299124,CTSW,
152,ENSG00000165424,219654,25.299124,ZCCHC24,
153,ENSG00000260755,ENSG00000260755,26.12737,,
154,ENSG00000132514,10462,24.761679,CLEC10A,
155,ENSG00000036448,9172,24.761631,MYOM2,
156,ENSG00000099958,91319,25.299076,DERL3,
157,ENSG00000182676,116729,25.296564,PPP1R27,
158,ENSG00000130522,3727,24.356588,JUND,
159,ENSG00000129226,968,25.304031,CD68,
160,ENSG00000010327,23166,25.299076,STAB1,
161,ENSG00000099785,51257,25.299076,MARCHF2,
162,ENSG00000198804,4512,24.761679,COX1,
163,ENSG00000134545,3821,24.356588,KLRC1,
164,ENSG00000197956,6277,25.296564,S100A6,
165,ENSG00000171476,84525,25.296564,HOPX,
166,ENSG00000141505,432,25.296564,ASGR1,
167,ENSG00000163131,1520,25.299124,CTSS,
168,ENSG00000171759,5053,24.756868,PAH,
169,ENSG00000109743,683,24.761679,BST1,
170,ENSG00000119535,1441,24.76163,CSF3R,
171,ENSG00000187608,9636,24.754364,ISG15,
172,ENSG00000171722,284680,25.303982,SPATA46,
173,ENSG00000106366,5054,24.76163,SERPINE1,
174,ENSG00000184702,5413,25.296564,SEPTIN5,
175,ENSG00000126759,5199,24.756868,CFP,
